location,outbreak_date,latitude,longitude
#AFRICA #MENA,2020-07-25,44.1535776,-70.697762
"New York, USA",2020-07-25,40.7127281,-74.0060152
"New York, NY",2020-07-25,40.7127281,-74.0060152
New York,2020-07-25,40.7127281,-74.0060152
"New Delhi, India",2020-07-25,28.6419258,77.2217499
"New Delhi, Delhi",2020-07-25,28.6419258,77.2217499
New Delhi,2020-07-25,28.6419258,77.2217499
"Nairobi, Kenya",2020-07-25,-1.3026148,36.828842
Nairobi,2020-07-25,-1.2890006,36.8172812
"Mumbai, India",2020-07-25,19.054999,72.8692035
Nigeria,2020-07-25,9.6000359,7.9999721
Mumbai,2020-07-25,19.054999,72.8692035
"Melbourne, Australia",2020-07-25,-37.8142454,144.9631732
"Manila, Philippines",2020-07-25,14.5904492,120.9803621
Malaysia,2020-07-25,4.5693754,102.2656823
"Los Angeles, CA",2020-07-25,34.0536909,-118.242766
"London, UK",2020-07-25,51.4893335,-0.1440551
"London, England",2020-07-25,51.4893335,-0.1440551
London,2020-07-25,51.5074456,-0.1277653
"Lagos, Nigeria",2020-07-25,6.4550575,3.3941795
Lagos,2020-07-25,6.4550575,3.3941795
"Melbourne, Victoria",2020-07-25,-37.8142454,144.9631732
"Kuala Lumpur, Malaysia",2020-07-25,3.1526589,101.7022205
"Noida, India",2020-07-25,28.5706333,77.3272147
Pakistan,2020-07-25,30.3308401,71.247499
"Washington, DC",2020-07-25,38.8950368,-77.0365427
WORLDWIDE,2020-07-25,-33.8938107,151.2621478
"Vancouver, BC",2020-07-25,49.2608724,-123.113952
United States,2020-07-25,39.7837304,-100.445882
United Kingdom,2020-07-25,54.7023545,-3.2765753
Uganda,2020-07-25,1.5333554,32.2166578
USA,2020-07-25,39.7837304,-100.445882
UK,2020-07-25,54.7023545,-3.2765753
"Texas, USA",2020-07-25,31.2638905,-98.5456116
Odisha,2020-07-25,20.5431241,84.6897321
"Sydney, Australia",2020-07-25,-33.8698439,151.2082848
Sri Lanka,2020-07-25,7.5554942,80.7137847
"South East, England",2020-07-25,54.9498723,-1.3603654
South Africa,2020-07-25,-28.8166236,24.991639
Singapore,2020-07-25,1.357107,103.8194992
Scotland,2020-07-25,56.7861112,-4.1140518
Qatar,2020-07-25,25.3336984,51.2295295
"Pune, India",2020-07-25,18.5213738,73.8545071
"Pretoria, South Africa",2020-07-25,-25.7459277,28.1879101
Philippines,2020-07-25,12.7503486,122.7312101
Switzerland,2020-07-25,46.7985624,8.2319736
"Kerala, India",2020-07-25,10.3528744,76.5120396
Kenya,2020-07-25,1.4419683,38.4313975
"Kampala, Uganda",2020-07-25,0.3177137,32.5813539
"Cape Town, South Africa",2020-07-25,-33.9288301,18.4172197
Canada,2020-07-25,61.0666922,-107.991707
"California, USA",2020-07-25,36.7014631,-118.755997
"Brussels, Belgium",2020-07-25,50.8465573,4.351697
"Brisbane, Queensland",2020-07-25,-27.4689623,153.0235009
Brazil,2020-07-25,-10.3333333,-53.2
"Boston, MA",2020-07-25,42.3554334,-71.060511
"Bhubaneswar, India",2020-07-25,20.2602964,85.8394521
"Bhubaneshwar, India",2020-07-25,20.2602964,85.8394521
Chennai,2020-07-25,13.0836939,80.270186
"Berlin, Germany",2020-07-25,52.5173885,13.3951309
"Belfast, Northern Ireland",2020-07-25,54.5975805,-5.9277097
"Beijing, China",2020-07-25,40.190632,116.412144
Bangalore,2020-07-25,12.9767936,77.590082
BENGALURU,2020-07-25,12.9767936,77.590082
Australia,2020-07-25,-24.7761086,134.755
"Atlanta, GA",2020-07-25,33.7544657,-84.3898151
"Ahmadabad City, India",2020-07-25,23.0215374,72.5800568
Africa,2020-07-25,11.5024338,17.7578122
"Abuja, Nigeria",2020-07-25,9.0643305,7.4892974
"Bengaluru, India",2020-07-25,12.9767936,77.590082
"Chennai, India",2020-07-25,13.0836939,80.270186
"Chicago, IL",2020-07-25,41.8755616,-87.6244212
"Dhaka, Bangladesh",2020-07-25,23.7643863,90.3890144
"Johannesburg, South Africa",2020-07-25,-26.205,28.049722
"Jaipur, India",2020-07-25,26.9154576,75.8189817
"Islamabad, Pakistan",2020-07-25,33.6938118,73.0651511
Ireland,2020-07-25,52.865196,-7.9794599
India,2020-07-25,22.3511148,78.6677428
"Hyderabad, India",2020-07-25,17.360589,78.4740613
Hyderabad,2020-07-25,17.360589,78.4740613
Hong Kong,2020-07-25,22.350627,114.1849161
"Guwahati, India",2020-07-25,26.1805978,91.753943
"Gujarat, India",2020-07-25,22.3850051,71.745261
Global,2020-07-25,55.702215,12.5592485
"Glasgow, Scotland",2020-07-25,55.861155,-4.2501687
"Geneva, Switzerland",2020-07-25,46.2017559,6.1466014
"Florida, USA",2020-07-25,27.7567667,-81.4639835
Europe,2020-07-25,51.0,10.0
"England, United Kingdom",2020-07-25,52.5310214,-1.2649062
England,2020-07-25,52.5310214,-1.2649062
"Edinburgh, Scotland",2020-07-25,55.9533456,-3.1883749
Earth,2020-07-25,34.2331373,-102.4107493
"Dublin City, Ireland",2020-07-25,53.3493795,-6.2605593
"Doha, Qatar",2020-07-25,25.2856329,51.5264162
Worldwide,2020-07-25,-33.8938107,151.2621478
mumbai,2020-07-25,19.054999,72.8692035
