location,date,total_tweets,disease_tweets,latitude,longitude,disease_rate,week
#AFRICA #MENA,2020-07-25,22,22,44.1535776,-70.697762,100.0,2020-07-20/2020-07-26
"Abuja, Nigeria",2020-07-25,19,13,9.0643305,7.4892974,68.42,2020-07-20/2020-07-26
Africa,2020-07-25,16,12,11.5024338,17.7578122,75.0,2020-07-20/2020-07-26
"Ahmadabad City, India",2020-07-25,10,8,23.0215374,72.5800568,80.0,2020-07-20/2020-07-26
"Atlanta, GA",2020-07-25,18,14,33.7544657,-84.3898151,77.78,2020-07-20/2020-07-26
Australia,2020-07-25,40,28,-24.7761086,134.755,70.0,2020-07-20/2020-07-26
BENGALURU,2020-07-25,19,16,12.9767936,77.590082,84.21,2020-07-20/2020-07-26
Bangalore,2020-07-25,19,13,12.9767936,77.590082,68.42,2020-07-20/2020-07-26
"Beijing, China",2020-07-25,17,15,40.190632,116.412144,88.24,2020-07-20/2020-07-26
"Belfast, Northern Ireland",2020-07-25,13,12,54.5975805,-5.9277097,92.31,2020-07-20/2020-07-26
"Bengaluru, India",2020-07-25,18,11,12.9767936,77.590082,61.11,2020-07-20/2020-07-26
"Berlin, Germany",2020-07-25,10,10,52.5173885,13.3951309,100.0,2020-07-20/2020-07-26
"Bhubaneshwar, India",2020-07-25,47,44,20.2602964,85.8394521,93.62,2020-07-20/2020-07-26
"Bhubaneswar, India",2020-07-25,12,11,20.2602964,85.8394521,91.67,2020-07-20/2020-07-26
"Boston, MA",2020-07-25,16,10,42.3554334,-71.060511,62.5,2020-07-20/2020-07-26
Brazil,2020-07-25,13,13,-10.3333333,-53.2,100.0,2020-07-20/2020-07-26
"Brisbane, Queensland",2020-07-25,11,6,-27.4689623,153.0235009,54.55,2020-07-20/2020-07-26
"Brussels, Belgium",2020-07-25,13,12,50.8465573,4.351697,92.31,2020-07-20/2020-07-26
"California, USA",2020-07-25,44,32,36.7014631,-118.755997,72.73,2020-07-20/2020-07-26
Canada,2020-07-25,37,32,61.0666922,-107.991707,86.49,2020-07-20/2020-07-26
"Cape Town, South Africa",2020-07-25,20,16,-33.9288301,18.4172197,80.0,2020-07-20/2020-07-26
Chennai,2020-07-25,23,13,13.0836939,80.270186,56.52,2020-07-20/2020-07-26
"Chennai, India",2020-07-25,41,35,13.0836939,80.270186,85.37,2020-07-20/2020-07-26
"Chicago, IL",2020-07-25,14,13,41.8755616,-87.6244212,92.86,2020-07-20/2020-07-26
"Dhaka, Bangladesh",2020-07-25,15,12,23.7643863,90.3890144,80.0,2020-07-20/2020-07-26
"Doha, Qatar",2020-07-25,27,22,25.2856329,51.5264162,81.48,2020-07-20/2020-07-26
"Dublin City, Ireland",2020-07-25,16,12,53.3493795,-6.2605593,75.0,2020-07-20/2020-07-26
Earth,2020-07-25,13,13,34.2331373,-102.4107493,100.0,2020-07-20/2020-07-26
"Edinburgh, Scotland",2020-07-25,11,11,55.9533456,-3.1883749,100.0,2020-07-20/2020-07-26
England,2020-07-25,17,12,52.5310214,-1.2649062,70.59,2020-07-20/2020-07-26
"England, United Kingdom",2020-07-25,38,21,52.5310214,-1.2649062,55.26,2020-07-20/2020-07-26
Europe,2020-07-25,14,12,51.0,10.0,85.71,2020-07-20/2020-07-26
"Florida, USA",2020-07-25,23,21,27.7567667,-81.4639835,91.3,2020-07-20/2020-07-26
"Geneva, Switzerland",2020-07-25,25,22,46.2017559,6.1466014,88.0,2020-07-20/2020-07-26
